date,total_sales,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,rolling_mean,expanding_mean
2013-01-01,286395.590000001,,,,,,,,,
2013-01-02,1258654.7600000037,286395.590000001,,,,,,,,
2013-01-03,1131019.3599999978,1258654.7600000037,286395.590000001,,,,,,,
2013-01-04,965669.2899999991,1131019.3599999978,1258654.7600000037,286395.590000001,,,,,,
2013-01-05,955022.6000000014,965669.2899999991,1131019.3599999978,1258654.7600000037,286395.590000001,,,,,
2013-01-06,849397.219999987,955022.6000000014,965669.2899999991,1131019.3599999978,1258654.7600000037,286395.590000001,,,,
2013-01-07,765429.1799999911,849397.219999987,955022.6000000014,965669.2899999991,1131019.3599999978,1258654.7600000037,286395.590000001,,887369.7142857116,887369.7142857116
2013-01-08,655787.4599999901,765429.1799999911,849397.219999987,955022.6000000014,965669.2899999991,1131019.3599999978,1258654.7600000037,286395.590000001,940139.9814285672,858421.9324999964
2013-01-09,497148.77999999805,655787.4599999901,765429.1799999911,849397.219999987,955022.6000000014,965669.2899999991,1131019.3599999978,1258654.7600000037,831353.4128571379,818280.4711111077
2013-01-10,528580.8200000001,497148.77999999805,655787.4599999901,765429.1799999911,849397.219999987,955022.6000000014,965669.2899999991,1131019.3599999978,745290.7642857097,789310.505999997
2013-01-11,671972.3499999992,528580.8200000001,497148.77999999805,655787.4599999901,765429.1799999911,849397.219999987,955022.6000000014,965669.2899999991,703334.0585714241,778643.4009090881
2013-01-12,794092.92,671972.3499999992,528580.8200000001,497148.77999999805,655787.4599999901,765429.1799999911,849397.219999987,955022.6000000014,680344.1042857096,779930.8608333307
2013-01-13,640308.7699999989,794092.92,671972.3499999992,528580.8200000001,497148.77999999805,655787.4599999901,765429.1799999911,849397.219999987,650474.3257142827,769190.6999999975
2013-01-14,453038.81999999,640308.7699999989,794092.92,671972.3499999992,528580.8200000001,497148.77999999805,655787.4599999901,765429.1799999911,605847.1314285683,746608.4228571398
2013-01-15,550323.630000003,453038.81999999,640308.7699999989,794092.92,671972.3499999992,528580.8200000001,497148.77999999805,655787.4599999901,590780.8699999986,733522.7699999973
2013-01-16,517893.68,550323.630000003,453038.81999999,640308.7699999989,794092.92,671972.3499999992,528580.8200000001,497148.77999999805,593744.4271428561,720045.9518749975
2013-01-17,482540.3900000001,517893.68,550323.630000003,453038.81999999,640308.7699999989,794092.92,671972.3499999992,528580.8200000001,587167.2228571418,706075.0364705859
2013-01-18,598595.309999997,482540.3900000001,517893.68,550323.630000003,453038.81999999,640308.7699999989,794092.92,671972.3499999992,576684.7885714271,700103.9405555532
2013-01-19,879907.4000000089,598595.309999997,482540.3900000001,517893.68,550323.630000003,453038.81999999,640308.7699999989,794092.92,588943.9999999999,709567.280526314
2013-01-20,760711.8399999789,879907.4000000089,598595.309999997,482540.3900000001,517893.68,550323.630000003,453038.81999999,640308.7699999989,606144.4385714255,712124.5084999973
2013-01-21,412402.02,760711.8399999789,879907.4000000089,598595.309999997,482540.3900000001,517893.68,550323.630000003,453038.81999999,600339.18142857,697852.0090476165
2013-01-22,430290.92000001104,412402.02,760711.8399999789,879907.4000000089,598595.309999997,482540.3900000001,517893.68,550323.630000003,583191.6514285711,685690.1413636344
2013-01-23,447765.97,430290.92000001104,412402.02,760711.8399999789,879907.4000000089,598595.309999997,482540.3900000001,517893.68,573173.4071428567,675345.6121739112
2013-01-24,497424.190000001,447765.97,430290.92000001104,412402.02,760711.8399999789,879907.4000000089,598595.309999997,482540.3900000001,575299.664285714,667932.2195833316
2013-01-25,752907.2299999989,497424.190000001,447765.97,430290.92000001104,412402.02,760711.8399999789,879907.4000000089,598595.309999997,597344.2242857143,671331.2199999983
2013-01-26,905751.9100000019,752907.2299999989,497424.190000001,447765.97,430290.92000001104,412402.02,760711.8399999789,879907.4000000089,601036.2971428562,680347.4003846138
2013-01-27,738183.2500000009,905751.9100000019,752907.2299999989,497424.190000001,447765.97,430290.92000001104,412402.02,760711.8399999789,597817.9271428593,682489.4688888873
